#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  alpha       1.00000   2.4672684e+09
CI  alpha       2.00000   4.5690158e+08
CI  alpha       3.00000   1.5991555e+08
CI  alpha       4.00000       74018056.
CI  alpha       5.00000       40207334.
CI  alpha       6.00000       24243758.
CI  alpha       7.00000       15735129.
CI  alpha       8.00000       10787953.
CI  alpha       9.00000       7716560.8
CI  alpha       10.0000       5709381.9
CI  alpha       11.0000       4342451.6
CI  alpha       12.0000       3379449.3
CI  alpha       13.0000       2681490.3
CI  alpha       14.0000       2163288.3
CI  alpha       15.0000       1770493.9
CI  alpha       16.0000       1467341.4
CI  alpha       17.0000       1229646.9
CI  alpha       18.0000       1040650.2
CI  alpha       19.0000       888489.95
CI  alpha       20.0000       764610.49
CI  alpha       21.0000       662734.99
CI  alpha       22.0000       578184.30
CI  alpha       23.0000       507428.59
CI  alpha       24.0000       447763.71
CI  alpha       25.0000       397098.63
CI  alpha       26.0000       353799.22
CI  alpha       27.0000       316573.34
CI  alpha       28.0000       284392.34
CI  alpha       29.0000       256429.75
CI  alpha       30.0000       232016.53
CI  alpha       31.0000       210606.95
CI  alpha       32.0000       191752.35
CI  alpha       33.0000       175082.99
CI  alpha       34.0000       160291.52
CI  alpha       35.0000       147120.21
CI  alpha       36.0000       135353.44
CI  alpha       37.0000       124809.12
CI  alpha       38.0000       115331.75
CI  alpha       39.0000       106790.74
CI  alpha       40.0000       99072.353
CI  alpha       41.0000       92080.270
CI  alpha       42.0000       85731.194
CI  alpha       43.0000       79952.553
CI  alpha       44.0000       74681.730
CI  alpha       45.0000       69864.345
CI  alpha       46.0000       65452.621
CI  alpha       47.0000       61404.527
CI  alpha       48.0000       57683.586
CI  alpha       49.0000       54257.341
CI  alpha       50.0000       51097.068
CI  alpha       51.0000       48177.589
CI  alpha       52.0000       45476.402
CI  alpha       53.0000       42973.403
CI  alpha       54.0000       40650.783
CI  alpha       55.0000       38492.553
CI  alpha       56.0000       36484.447
CI  alpha       57.0000       34613.637
CI  alpha       58.0000       32868.536
CI  alpha       59.0000       31238.901
CI  alpha       60.0000       29715.157
CI  alpha       61.0000       28288.975
CI  alpha       62.0000       26952.600
CI  alpha       63.0000       25699.137
CI  alpha       64.0000       24522.125
CI  alpha       65.0000       23415.963
CI  alpha       66.0000       22375.337
CI  alpha       67.0000       21395.411
CI  alpha       68.0000       20471.973
CI  alpha       69.0000       19600.907
CI  alpha       70.0000       18778.526
CI  alpha       71.0000       18001.527
CI  alpha       72.0000       17266.846
CI  alpha       73.0000       16571.515
CI  alpha       74.0000       15913.141
CI  alpha       75.0000       15289.138
CI  alpha       76.0000       14697.305
CI  alpha       77.0000       14135.631
CI  alpha       78.0000       13602.297
CI  alpha       79.0000       13095.388
CI  alpha       80.0000       12613.372
CI  alpha       81.0000       12154.717
CI  alpha       82.0000       11718.035
CI  alpha       83.0000       11302.033
CI  alpha       84.0000       10905.515
CI  alpha       85.0000       10527.284
CI  alpha       86.0000       10166.382
CI  alpha       87.0000       9821.7563
CI  alpha       88.0000       9492.5453
CI  alpha       89.0000       9177.8872
CI  alpha       90.0000       8876.9921
CI  alpha       91.0000       8589.0940
CI  alpha       92.0000       8313.5468
CI  alpha       93.0000       8049.6083
CI  alpha       94.0000       7796.7521
CI  alpha       95.0000       7554.3797
CI  alpha       96.0000       7321.9405
CI  alpha       97.0000       7098.9560
CI  alpha       98.0000       6884.9233
CI  alpha       99.0000       6679.4118
CI  alpha       100.000       6481.9905
CI  alpha       101.000       6292.2765
CI  alpha       102.000       6109.8869
CI  alpha       103.000       5934.5103
CI  alpha       104.000       5765.7640
CI  alpha       105.000       5603.3366
CI  alpha       106.000       5446.9889
CI  alpha       107.000       5296.3619
CI  alpha       108.000       5151.2639
CI  alpha       109.000       5011.4318
CI  alpha       110.000       4876.5784
CI  alpha       111.000       4746.5599
CI  alpha       112.000       4621.0892
CI  alpha       113.000       4500.0226
CI  alpha       114.000       4383.1448
CI  alpha       115.000       4270.2643
CI  alpha       116.000       4161.2374
CI  alpha       117.000       4055.8966
CI  alpha       118.000       3954.0982
CI  alpha       119.000       3855.6270
CI  alpha       120.000       3760.4588
CI  alpha       121.000       3668.3305
CI  alpha       122.000       3579.2659
CI  alpha       123.000       3492.9779
CI  alpha       124.000       3409.5142
CI  alpha       125.000       3328.6357
CI  alpha       126.000       3250.3421
CI  alpha       127.000       3174.4422
CI  alpha       128.000       3100.9119
CI  alpha       129.000       3029.6195
CI  alpha       130.000       2960.5053
CI  alpha       131.000       2893.4855
CI  alpha       132.000       2828.4523
CI  alpha       133.000       2765.3819
CI  alpha       134.000       2704.1425
CI  alpha       135.000       2644.7103
CI  alpha       136.000       2587.0253
CI  alpha       137.000       2530.9680
CI  alpha       138.000       2476.5503
CI  alpha       139.000       2423.6765
CI  alpha       140.000       2372.2866
CI  alpha       141.000       2322.3449
CI  alpha       142.000       2273.7914
CI  alpha       143.000       2226.5903
CI  alpha       144.000       2180.6817
CI  alpha       145.000       2136.0297
CI  alpha       146.000       2092.5746
CI  alpha       147.000       2050.3042
CI  alpha       148.000       2009.1708
CI  alpha       149.000       1969.1145
CI  alpha       150.000       1930.1233
CI  alpha       151.000       1892.1613
CI  alpha       152.000       1855.1688
CI  alpha       153.000       1819.1576
CI  alpha       154.000       1784.0559
CI  alpha       155.000       1749.8519
CI  alpha       156.000       1716.5335
CI  alpha       157.000       1684.0408
CI  alpha       158.000       1652.3620
CI  alpha       159.000       1621.4850
CI  alpha       160.000       1591.3620
CI  alpha       161.000       1561.9809
CI  alpha       162.000       1533.3180
CI  alpha       163.000       1505.3612
CI  alpha       164.000       1478.0625
CI  alpha       165.000       1451.4461
CI  alpha       166.000       1425.4400
CI  alpha       167.000       1400.0682
CI  alpha       168.000       1375.2828
CI  alpha       169.000       1351.0959
CI  alpha       170.000       1327.4474
CI  alpha       171.000       1304.3735
CI  alpha       172.000       1281.8141
CI  alpha       173.000       1259.7813
CI  alpha       174.000       1238.2393
CI  alpha       175.000       1217.1998
CI  alpha       176.000       1196.6152
CI  alpha       177.000       1176.5212
CI  alpha       178.000       1156.8461
CI  alpha       179.000       1137.6257
CI  alpha       180.000       1118.8243
CI  alpha       181.000       1100.4237
CI  alpha       182.000       1082.4361
CI  alpha       183.000       1064.8374
CI  alpha       184.000       1047.6217
CI  alpha       185.000       1030.7650
CI  alpha       186.000       1014.2733
CI  alpha       187.000       998.12874
CI  alpha       188.000       982.33121
CI  alpha       189.000       966.85681
CI  alpha       190.000       951.71153
CI  alpha       191.000       936.88339
CI  alpha       192.000       922.35445
CI  alpha       193.000       908.13068
CI  alpha       194.000       894.19415
CI  alpha       195.000       880.54484
CI  alpha       196.000       867.17080
CI  alpha       197.000       854.06004
CI  alpha       198.000       841.21856
CI  alpha       199.000       828.63439
CI  alpha       200.000       816.29556
CI  alpha       201.000       804.20207
CI  alpha       202.000       792.34794
CI  alpha       203.000       780.72120
CI  alpha       204.000       769.32783
CI  alpha       205.000       758.14389
CI  alpha       206.000       747.19333
CI  alpha       207.000       736.43425
CI  alpha       208.000       725.89060
CI  alpha       209.000       715.55039
CI  alpha       210.000       705.39569
CI  alpha       211.000       695.43846
CI  alpha       212.000       685.66673
CI  alpha       213.000       676.08050
CI  alpha       214.000       666.66182
CI  alpha       215.000       657.42864
CI  alpha       216.000       648.35703
CI  alpha       217.000       639.45895
CI  alpha       218.000       630.72244
CI  alpha       219.000       622.13552
CI  alpha       220.000       613.71017
CI  alpha       221.000       605.43442
CI  alpha       222.000       597.30826
CI  alpha       223.000       589.33171
CI  alpha       224.000       581.48680
CI  alpha       225.000       573.78550
CI  alpha       226.000       566.22183
CI  alpha       227.000       558.78383
CI  alpha       228.000       551.47747
CI  alpha       229.000       544.30874
CI  alpha       230.000       537.24772
CI  alpha       231.000       530.31835
CI  alpha       232.000       523.50267
CI  alpha       233.000       516.80667
CI  alpha       234.000       510.22437
CI  alpha       235.000       503.74978
CI  alpha       236.000       497.38888
CI  alpha       237.000       491.13569
CI  alpha       238.000       484.97824
CI  alpha       239.000       478.92850
CI  alpha       240.000       472.98049
CI  alpha       241.000       467.13421
CI  alpha       242.000       461.37170
CI  alpha       243.000       455.71092
CI  alpha       244.000       450.14588
CI  alpha       245.000       444.67060
CI  alpha       246.000       439.27311
CI  alpha       247.000       433.97136
CI  alpha       248.000       428.75937
CI  alpha       249.000       423.61919
CI  alpha       250.000       418.56877
CI  alpha       251.000       413.59015
CI  alpha       252.000       408.70129
CI  alpha       253.000       403.88424
CI  alpha       254.000       399.13900
CI  alpha       255.000       394.47155
CI  alpha       256.000       389.87590
CI  alpha       257.000       385.35206
CI  alpha       258.000       380.89405
CI  alpha       259.000       376.51083
CI  alpha       260.000       372.19044
CI  alpha       261.000       367.93588
CI  alpha       262.000       363.75013
CI  alpha       263.000       359.62123
CI  alpha       264.000       355.55816
CI  alpha       265.000       351.55492
CI  alpha       266.000       347.61451
CI  alpha       267.000       343.73095
CI  alpha       268.000       339.90125
CI  alpha       269.000       336.13437
CI  alpha       270.000       332.41836
CI  alpha       271.000       328.75920
CI  alpha       272.000       325.15389
CI  alpha       273.000       321.60244
CI  alpha       274.000       318.09587
CI  alpha       275.000       314.64614
CI  alpha       276.000       311.24728
CI  alpha       277.000       307.89030
CI  alpha       278.000       304.59017
CI  alpha       279.000       301.32894
CI  alpha       280.000       298.11857
CI  alpha       281.000       294.95308
CI  alpha       282.000       291.83247
CI  alpha       283.000       288.75375
CI  alpha       284.000       285.71990
CI  alpha       285.000       282.72795
CI  alpha       286.000       279.77788
CI  alpha       287.000       276.86969
CI  alpha       288.000       274.00041
CI  alpha       289.000       271.17002
CI  alpha       290.000       268.37852
CI  alpha       291.000       265.62891
CI  alpha       292.000       262.90922
CI  alpha       293.000       260.23441
CI  alpha       294.000       257.59252
CI  alpha       295.000       254.98353
CI  alpha       296.000       252.41643
CI  alpha       297.000       249.87626
CI  alpha       298.000       247.37498
CI  alpha       299.000       244.90363
CI  alpha       300.000       242.46818
CI  alpha       301.000       240.06264
CI  alpha       302.000       237.69002
CI  alpha       303.000       235.35031
CI  alpha       304.000       233.03753
CI  alpha       305.000       230.75467
CI  alpha       306.000       228.50471
CI  alpha       307.000       226.28468
CI  alpha       308.000       224.08859
CI  alpha       309.000       221.92540
CI  alpha       310.000       219.78615
CI  alpha       311.000       217.67682
CI  alpha       312.000       215.59442
CI  alpha       313.000       213.53895
CI  alpha       314.000       211.50741
CI  alpha       315.000       209.50280
