#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  beta       1.00000   2.9241700e+09
CI  beta       2.00000   6.1681711e+08
CI  beta       3.00000   2.3393361e+08
CI  beta       4.00000   1.1422540e+08
CI  beta       5.00000       64451092.
CI  beta       6.00000       39978887.
CI  beta       7.00000       26523082.
CI  beta       8.00000       18504514.
CI  beta       9.00000       13425943.
CI  beta       10.0000       10051833.
CI  beta       11.0000       7721900.9
CI  beta       12.0000       6060939.6
CI  beta       13.0000       4844778.6
CI  beta       14.0000       3933782.2
CI  beta       15.0000       3237835.3
CI  beta       16.0000       2696988.3
CI  beta       17.0000       2270297.2
CI  beta       18.0000       1929140.2
CI  beta       19.0000       1653100.4
CI  beta       20.0000       1427345.5
CI  beta       21.0000       1240919.3
CI  beta       22.0000       1085612.9
CI  beta       23.0000       955192.30
CI  beta       24.0000       844862.33
CI  beta       25.0000       750897.85
CI  beta       26.0000       670372.57
CI  beta       27.0000       600965.68
CI  beta       28.0000       540822.08
CI  beta       29.0000       488446.28
CI  beta       30.0000       442623.48
CI  beta       31.0000       402359.30
CI  beta       32.0000       366835.34
CI  beta       33.0000       335374.51
CI  beta       34.0000       307411.73
CI  beta       35.0000       282473.65
CI  beta       36.0000       260162.56
CI  beta       37.0000       240140.86
CI  beta       38.0000       222122.49
CI  beta       39.0000       205863.09
CI  beta       40.0000       191152.62
CI  beta       41.0000       177811.46
CI  beta       42.0000       165683.75
CI  beta       43.0000       154634.28
CI  beta       44.0000       144546.07
CI  beta       45.0000       135316.97
CI  beta       46.0000       126857.15
CI  beta       47.0000       119088.11
CI  beta       48.0000       111940.93
CI  beta       49.0000       105354.41
CI  beta       50.0000       99274.657
CI  beta       51.0000       93653.991
CI  beta       52.0000       88449.805
CI  beta       53.0000       83624.186
CI  beta       54.0000       79143.336
CI  beta       55.0000       74977.000
CI  beta       56.0000       71098.084
CI  beta       57.0000       67482.172
CI  beta       58.0000       64107.437
CI  beta       59.0000       60954.058
CI  beta       60.0000       58004.132
CI  beta       61.0000       55241.575
CI  beta       62.0000       52651.737
CI  beta       63.0000       50221.263
CI  beta       64.0000       47938.089
CI  beta       65.0000       45791.300
CI  beta       66.0000       43770.748
CI  beta       67.0000       41867.384
CI  beta       68.0000       40072.881
CI  beta       69.0000       38379.433
CI  beta       70.0000       36780.053
CI  beta       71.0000       35268.372
CI  beta       72.0000       33838.361
CI  beta       73.0000       32484.656
CI  beta       74.0000       31202.279
CI  beta       75.0000       29986.444
CI  beta       76.0000       28832.937
CI  beta       77.0000       27737.928
CI  beta       78.0000       26697.685
CI  beta       79.0000       25708.759
CI  beta       80.0000       24768.088
CI  beta       81.0000       23872.751
CI  beta       82.0000       23020.067
CI  beta       83.0000       22207.548
CI  beta       84.0000       21432.798
CI  beta       85.0000       20693.665
CI  beta       86.0000       19988.138
CI  beta       87.0000       19314.302
CI  beta       88.0000       18670.433
CI  beta       89.0000       18054.879
CI  beta       90.0000       17466.086
CI  beta       91.0000       16902.641
CI  beta       92.0000       16363.155
CI  beta       93.0000       15846.360
CI  beta       94.0000       15351.132
CI  beta       95.0000       14876.320
CI  beta       96.0000       14420.896
CI  beta       97.0000       13983.879
CI  beta       98.0000       13564.335
CI  beta       99.0000       13161.402
CI  beta       100.000       12774.267
CI  beta       101.000       12402.163
CI  beta       102.000       12044.397
CI  beta       103.000       11700.274
CI  beta       104.000       11369.101
CI  beta       105.000       11050.326
CI  beta       106.000       10743.351
CI  beta       107.000       10447.626
CI  beta       108.000       10162.696
CI  beta       109.000       9888.0102
CI  beta       110.000       9623.1382
CI  beta       111.000       9367.6491
CI  beta       112.000       9121.1118
CI  beta       113.000       8883.1675
CI  beta       114.000       8653.4091
CI  beta       115.000       8431.5017
CI  beta       116.000       8217.1340
CI  beta       117.000       8009.9948
CI  beta       118.000       7809.7252
CI  beta       119.000       7616.0858
CI  beta       120.000       7428.7893
CI  beta       121.000       7247.5964
CI  beta       122.000       7072.2438
CI  beta       123.000       6902.4921
CI  beta       124.000       6738.1499
CI  beta       125.000       6578.9778
CI  beta       126.000       6424.7843
CI  beta       127.000       6275.3540
CI  beta       128.000       6130.5314
CI  beta       129.000       5990.1248
CI  beta       130.000       5853.9908
CI  beta       131.000       5721.9378
CI  beta       132.000       5593.8342
CI  beta       133.000       5469.5243
CI  beta       134.000       5348.8527
CI  beta       135.000       5231.7356
CI  beta       136.000       5117.9934
CI  beta       137.000       5007.5183
CI  beta       138.000       4900.2268
CI  beta       139.000       4795.9631
CI  beta       140.000       4694.6315
CI  beta       141.000       4596.1363
CI  beta       142.000       4500.3817
CI  beta       143.000       4407.2720
CI  beta       144.000       4316.7114
CI  beta       145.000       4228.6043
CI  beta       146.000       4142.8787
CI  beta       147.000       4059.4750
CI  beta       148.000       3978.2852
CI  beta       149.000       3899.2377
CI  beta       150.000       3822.2846
CI  beta       151.000       3747.3301
CI  beta       152.000       3674.3264
CI  beta       153.000       3603.2135
CI  beta       154.000       3533.9078
CI  beta       155.000       3466.3854
CI  beta       156.000       3400.5743
CI  beta       157.000       3336.4028
CI  beta       158.000       3273.8470
CI  beta       159.000       3212.8469
CI  beta       160.000       3153.3429
CI  beta       161.000       3095.2989
CI  beta       162.000       3038.6792
CI  beta       163.000       2983.4237
CI  beta       164.000       2929.5086
CI  beta       165.000       2876.8861
CI  beta       166.000       2825.5082
CI  beta       167.000       2775.3511
CI  beta       168.000       2726.3787
CI  beta       169.000       2678.5433
CI  beta       170.000       2631.8209
CI  beta       171.000       2586.1876
CI  beta       172.000       2541.5955
CI  beta       173.000       2498.0206
CI  beta       174.000       2455.4391
CI  beta       175.000       2413.8150
CI  beta       176.000       2373.1363
CI  beta       177.000       2333.3672
CI  beta       178.000       2294.4718
CI  beta       179.000       2256.4500
CI  beta       180.000       2219.2480
CI  beta       181.000       2182.8598
CI  beta       182.000       2147.2735
CI  beta       183.000       2112.4591
CI  beta       184.000       2078.3867
CI  beta       185.000       2045.0383
CI  beta       186.000       2012.4021
CI  beta       187.000       1980.4600
CI  beta       188.000       1949.1880
CI  beta       189.000       1918.5683
CI  beta       190.000       1888.5949
CI  beta       191.000       1859.2378
CI  beta       192.000       1830.4851
CI  beta       193.000       1802.3248
CI  beta       194.000       1774.7390
CI  beta       195.000       1747.7156
CI  beta       196.000       1721.2308
CI  beta       197.000       1695.2786
CI  beta       198.000       1669.8530
CI  beta       199.000       1644.9300
CI  beta       200.000       1620.4976
CI  beta       201.000       1596.5500
CI  beta       202.000       1573.0691
CI  beta       203.000       1550.0490
CI  beta       204.000       1527.4717
CI  beta       205.000       1505.3372
CI  beta       206.000       1483.6276
CI  beta       207.000       1462.3248
CI  beta       208.000       1441.4410
CI  beta       209.000       1420.9461
CI  beta       210.000       1400.8342
CI  beta       211.000       1381.1052
CI  beta       212.000       1361.7472
CI  beta       213.000       1342.7423
CI  beta       214.000       1324.0905
CI  beta       215.000       1305.7857
CI  beta       216.000       1287.8160
CI  beta       217.000       1270.1814
CI  beta       218.000       1252.8580
CI  beta       219.000       1235.8457
CI  beta       220.000       1219.1446
CI  beta       221.000       1202.7427
CI  beta       222.000       1186.6400
CI  beta       223.000       1170.8185
CI  beta       224.000       1155.2723
CI  beta       225.000       1140.0073
CI  beta       226.000       1125.0057
CI  beta       227.000       1110.2613
CI  beta       228.000       1095.7862
CI  beta       229.000       1081.5565
CI  beta       230.000       1067.5661
CI  beta       231.000       1053.8210
CI  beta       232.000       1040.3093
CI  beta       233.000       1027.0310
CI  beta       234.000       1013.9741
CI  beta       235.000       1001.1387
CI  beta       236.000       988.52456
CI  beta       237.000       976.11392
CI  beta       238.000       963.90674
CI  beta       239.000       951.90899
CI  beta       240.000       940.11470
CI  beta       241.000       928.50591
CI  beta       242.000       917.08262
CI  beta       243.000       905.85680
CI  beta       244.000       894.81648
CI  beta       245.000       883.94370
CI  beta       246.000       873.24447
CI  beta       247.000       862.73073
CI  beta       248.000       852.37856
CI  beta       249.000       842.18796
CI  beta       250.000       832.15892
CI  beta       251.000       822.29144
CI  beta       252.000       812.58554
CI  beta       253.000       803.02324
CI  beta       254.000       793.61055
CI  beta       255.000       784.34745
CI  beta       256.000       775.22796
CI  beta       257.000       766.24611
CI  beta       258.000       757.40488
CI  beta       259.000       748.70128
CI  beta       260.000       740.12633
CI  beta       261.000       731.68602
CI  beta       262.000       723.37137
CI  beta       263.000       715.17939
CI  beta       264.000       707.11308
CI  beta       265.000       699.16943
CI  beta       266.000       691.34546
CI  beta       267.000       683.63220
CI  beta       268.000       676.03562
CI  beta       269.000       668.55274
CI  beta       270.000       661.17756
CI  beta       271.000       653.91309
CI  beta       272.000       646.75633
CI  beta       273.000       639.69831
CI  beta       274.000       632.74201
CI  beta       275.000       625.89342
CI  beta       276.000       619.13758
CI  beta       277.000       612.48048
CI  beta       278.000       605.91911
CI  beta       279.000       599.44751
CI  beta       280.000       593.07165
CI  beta       281.000       586.78555
CI  beta       282.000       580.58622
CI  beta       283.000       574.47365
CI  beta       284.000       568.44785
CI  beta       285.000       562.50582
CI  beta       286.000       556.64757
CI  beta       287.000       550.87010
CI  beta       288.000       545.17042
CI  beta       289.000       539.54854
CI  beta       290.000       534.00743
CI  beta       291.000       528.53814
CI  beta       292.000       523.14364
CI  beta       293.000       517.82693
CI  beta       294.000       512.57605
CI  beta       295.000       507.39996
CI  beta       296.000       502.29269
CI  beta       297.000       497.25125
CI  beta       298.000       492.27861
CI  beta       299.000       487.37180
CI  beta       300.000       482.53082
CI  beta       301.000       477.75266
CI  beta       302.000       473.04033
CI  beta       303.000       468.38784
CI  beta       304.000       463.79219
CI  beta       305.000       459.25938
CI  beta       306.000       454.78940
CI  beta       307.000       450.37327
CI  beta       308.000       446.01399
CI  beta       309.000       441.71155
CI  beta       310.000       437.46297
CI  beta       311.000       433.27124
CI  beta       312.000       429.13337
CI  beta       313.000       425.04635
CI  beta       314.000       421.01020
CI  beta       315.000       417.02492
CI  beta       316.000       413.09049
CI  beta       317.000       409.20693
CI  beta       318.000       405.37125
CI  beta       319.000       401.58044
CI  beta       320.000       397.84049
CI  beta       321.000       394.14542
CI  beta       322.000       390.49524
CI  beta       323.000       386.88993
CI  beta       324.000       383.32950
CI  beta       325.000       379.81395
CI  beta       326.000       376.34029
CI  beta       327.000       372.90851
CI  beta       328.000       369.51564
CI  beta       329.000       366.17063
CI  beta       330.000       362.86152
CI  beta       331.000       359.58832
CI  beta       332.000       356.36000
CI  beta       333.000       353.17058
CI  beta       334.000       350.01705
CI  beta       335.000       346.90243
CI  beta       336.000       343.82071
CI  beta       337.000       340.77789
CI  beta       338.000       337.77397
CI  beta       339.000       334.79996
CI  beta       340.000       331.86186
CI  beta       341.000       328.95966
CI  beta       342.000       326.09337
CI  beta       343.000       323.25699
CI  beta       344.000       320.45353
CI  beta       345.000       317.68298
CI  beta       346.000       314.94534
CI  beta       347.000       312.23762
CI  beta       348.000       309.55981
CI  beta       349.000       306.91492
CI  beta       350.000       304.29995
CI  beta       351.000       301.71191
CI  beta       352.000       299.15379
CI  beta       353.000       296.62858
CI  beta       354.000       294.13029
CI  beta       355.000       291.65894
CI  beta       356.000       289.21152
CI  beta       357.000       286.79402
CI  beta       358.000       284.40643
CI  beta       359.000       282.04279
CI  beta       360.000       279.70607
CI  beta       361.000       277.39329
CI  beta       362.000       275.10594
CI  beta       363.000       272.84551
CI  beta       364.000       270.60903
CI  beta       365.000       268.39797
CI  beta       366.000       266.20935
CI  beta       367.000       264.04467
CI  beta       368.000       261.90542
CI  beta       369.000       259.78712
CI  beta       370.000       257.69125
CI  beta       371.000       255.61783
CI  beta       372.000       253.56834
CI  beta       373.000       251.53979
CI  beta       374.000       249.53219
CI  beta       375.000       247.54702
CI  beta       376.000       245.58280
CI  beta       377.000       243.63953
CI  beta       378.000       241.71420
CI  beta       379.000       239.81132
CI  beta       380.000       237.92788
CI  beta       381.000       236.06389
CI  beta       382.000       234.22085
CI  beta       383.000       232.39575
CI  beta       384.000       230.58861
CI  beta       385.000       228.80241
CI  beta       386.000       227.03267
CI  beta       387.000       225.28088
CI  beta       388.000       223.54854
CI  beta       389.000       221.83415
CI  beta       390.000       220.13621
CI  beta       391.000       218.45473
CI  beta       392.000       216.79270
CI  beta       393.000       215.14563
CI  beta       394.000       213.51501
CI  beta       395.000       211.90235
CI  beta       396.000       210.30464
CI  beta       397.000       208.72339
CI  beta       398.000       207.15860
CI  beta       399.000       205.60727
CI  beta       400.000       204.07389
CI  beta       401.000       202.55547
CI  beta       402.000       201.05052
CI  beta       403.000       199.56052
CI  beta       404.000       198.08699
CI  beta       405.000       196.62691
CI  beta       406.000       195.18030
CI  beta       407.000       193.74865
CI  beta       408.000       192.33196
CI  beta       409.000       190.92873
CI  beta       410.000       189.53597
CI  beta       411.000       188.15967
CI  beta       412.000       186.79833
CI  beta       413.000       185.44746
CI  beta       414.000       184.10856
CI  beta       415.000       182.78462
CI  beta       416.000       181.47265
CI  beta       417.000       180.17414
CI  beta       418.000       178.88760
CI  beta       419.000       177.61153
CI  beta       420.000       176.34892
CI  beta       421.000       175.09829
CI  beta       422.000       173.85962
CI  beta       423.000       172.63291
CI  beta       424.000       171.41668
CI  beta       425.000       170.21242
CI  beta       426.000       169.02013
CI  beta       427.000       167.83681
CI  beta       428.000       166.66546
CI  beta       429.000       165.50607
CI  beta       430.000       164.35716
CI  beta       431.000       163.21872
