#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  delta       1.00000   3.1581035e+09
CI  delta       2.00000   7.3104250e+08
CI  delta       3.00000   2.9838470e+08
CI  delta       4.00000   1.5420428e+08
CI  delta       5.00000       90974174.
CI  delta       6.00000       58483401.
CI  delta       7.00000       39949025.
CI  delta       8.00000       28556349.
CI  delta       9.00000       21147844.
CI  delta       10.0000       16112773.
CI  delta       11.0000       12566679.
CI  delta       12.0000       9994721.8
CI  delta       13.0000       8082613.9
CI  delta       14.0000       6630770.5
CI  delta       15.0000       5508132.5
CI  delta       16.0000       4626128.5
CI  delta       17.0000       3923397.6
CI  delta       18.0000       3356485.7
CI  delta       19.0000       2894019.7
CI  delta       20.0000       2512958.4
CI  delta       21.0000       2196111.6
CI  delta       22.0000       1930475.2
CI  delta       23.0000       1706090.1
CI  delta       24.0000       1515234.9
CI  delta       25.0000       1351863.5
CI  delta       26.0000       1211194.6
CI  delta       27.0000       1089412.0
CI  delta       28.0000       983445.56
CI  delta       29.0000       890805.58
CI  delta       30.0000       809458.82
CI  delta       31.0000       737733.82
CI  delta       32.0000       674247.08
CI  delta       33.0000       617848.17
CI  delta       34.0000       567574.29
CI  delta       35.0000       522614.52
CI  delta       36.0000       482285.05
CI  delta       37.0000       446003.96
CI  delta       38.0000       413275.11
CI  delta       39.0000       383674.56
CI  delta       40.0000       356836.37
CI  delta       41.0000       332445.75
CI  delta       42.0000       310229.82
CI  delta       43.0000       289951.25
CI  delta       44.0000       271403.22
CI  delta       45.0000       254405.08
CI  delta       46.0000       238798.07
CI  delta       47.0000       224442.52
CI  delta       48.0000       211215.58
CI  delta       49.0000       199008.40
CI  delta       50.0000       187724.46
CI  delta       51.0000       177278.18
CI  delta       52.0000       167593.14
CI  delta       53.0000       158601.19
CI  delta       54.0000       150241.42
CI  delta       55.0000       142459.17
CI  delta       56.0000       135205.52
CI  delta       57.0000       128436.23
CI  delta       58.0000       122111.57
CI  delta       59.0000       116195.63
CI  delta       60.0000       110655.87
CI  delta       61.0000       105462.84
CI  delta       62.0000       100589.83
CI  delta       63.0000       96012.563
CI  delta       64.0000       91708.836
CI  delta       65.0000       87658.684
CI  delta       66.0000       83843.628
CI  delta       67.0000       80246.817
CI  delta       68.0000       76852.933
CI  delta       69.0000       73647.805
CI  delta       70.0000       70618.413
CI  delta       71.0000       67753.028
CI  delta       72.0000       65040.640
CI  delta       73.0000       62471.100
CI  delta       74.0000       60035.216
CI  delta       75.0000       57724.372
CI  delta       76.0000       55530.622
CI  delta       77.0000       53446.688
CI  delta       78.0000       51465.773
CI  delta       79.0000       49581.511
CI  delta       80.0000       47788.156
CI  delta       81.0000       46080.299
CI  delta       82.0000       44452.866
CI  delta       83.0000       42901.213
CI  delta       84.0000       41420.937
CI  delta       85.0000       40007.967
CI  delta       86.0000       38658.571
CI  delta       87.0000       37369.181
CI  delta       88.0000       36136.519
CI  delta       89.0000       34957.520
CI  delta       90.0000       33829.241
CI  delta       91.0000       32749.001
CI  delta       92.0000       31714.287
CI  delta       93.0000       30722.681
CI  delta       94.0000       29772.028
CI  delta       95.0000       28860.199
CI  delta       96.0000       27985.232
CI  delta       97.0000       27145.282
CI  delta       98.0000       26338.602
CI  delta       99.0000       25563.566
CI  delta       100.000       24818.664
CI  delta       101.000       24102.438
CI  delta       102.000       23413.498
CI  delta       103.000       22750.600
CI  delta       104.000       22112.451
CI  delta       105.000       21497.951
CI  delta       106.000       20906.047
CI  delta       107.000       20335.636
CI  delta       108.000       19785.834
CI  delta       109.000       19255.659
CI  delta       110.000       18744.250
CI  delta       111.000       18250.817
CI  delta       112.000       17774.521
CI  delta       113.000       17314.669
CI  delta       114.000       16870.543
CI  delta       115.000       16441.497
CI  delta       116.000       16026.859
CI  delta       117.000       15626.081
CI  delta       118.000       15238.514
CI  delta       119.000       14863.682
CI  delta       120.000       14501.033
CI  delta       121.000       14150.088
CI  delta       122.000       13810.394
CI  delta       123.000       13481.470
CI  delta       124.000       13162.934
CI  delta       125.000       12854.332
CI  delta       126.000       12555.316
CI  delta       127.000       12265.479
CI  delta       128.000       11984.522
CI  delta       129.000       11712.063
CI  delta       130.000       11447.825
CI  delta       131.000       11191.462
CI  delta       132.000       10942.687
CI  delta       133.000       10701.260
CI  delta       134.000       10466.846
CI  delta       135.000       10239.254
CI  delta       136.000       10018.220
CI  delta       137.000       9803.4814
CI  delta       138.000       9594.8583
CI  delta       139.000       9392.0993
CI  delta       140.000       9195.0132
CI  delta       141.000       9003.4082
CI  delta       142.000       8817.0931
CI  delta       143.000       8635.8763
CI  delta       144.000       8459.5902
CI  delta       145.000       8288.0793
CI  delta       146.000       8121.1640
CI  delta       147.000       7958.7127
CI  delta       148.000       7800.5698
CI  delta       149.000       7646.5678
CI  delta       150.000       7496.6110
CI  delta       151.000       7350.5436
CI  delta       152.000       7208.2342
CI  delta       153.000       7069.5989
CI  delta       154.000       6934.4821
CI  delta       155.000       6802.7881
CI  delta       156.000       6674.4212
CI  delta       157.000       6549.2497
CI  delta       158.000       6427.1899
CI  delta       159.000       6308.1459
CI  delta       160.000       6192.0221
CI  delta       161.000       6078.7226
CI  delta       162.000       5968.1878
CI  delta       163.000       5860.3098
CI  delta       164.000       5755.0169
CI  delta       165.000       5652.2372
CI  delta       166.000       5551.8869
CI  delta       167.000       5453.8944
CI  delta       168.000       5358.1996
CI  delta       169.000       5264.7309
CI  delta       170.000       5173.4164
CI  delta       171.000       5084.2082
CI  delta       172.000       4997.0345
CI  delta       173.000       4911.8356
CI  delta       174.000       4828.5754
CI  delta       175.000       4747.1822
CI  delta       176.000       4667.6081
CI  delta       177.000       4589.8172
CI  delta       178.000       4513.7198
CI  delta       179.000       4439.3099
CI  delta       180.000       4366.5215
CI  delta       181.000       4295.3189
CI  delta       182.000       4225.6602
CI  delta       183.000       4157.4974
CI  delta       184.000       4090.7888
CI  delta       185.000       4025.4983
CI  delta       186.000       3961.5901
CI  delta       187.000       3899.0283
CI  delta       188.000       3837.7829
CI  delta       189.000       3777.8062
CI  delta       190.000       3719.0800
