#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  gamma       1.00000   3.0840855e+09
CI  gamma       2.00000   6.9083519e+08
CI  gamma       3.00000   2.7414095e+08
CI  gamma       4.00000   1.3846915e+08
CI  gamma       5.00000       80186221.
CI  gamma       6.00000       50766841.
CI  gamma       7.00000       34239643.
CI  gamma       8.00000       24213896.
CI  gamma       9.00000       17768394.
CI  gamma       10.0000       13431283.
CI  gamma       11.0000       10403391.
CI  gamma       12.0000       8224227.9
CI  gamma       13.0000       6615272.5
CI  gamma       14.0000       5401123.6
CI  gamma       15.0000       4467482.2
CI  gamma       16.0000       3737638.6
CI  gamma       17.0000       3158787.1
CI  gamma       18.0000       2693750.7
CI  gamma       19.0000       2315835.4
CI  gamma       20.0000       2005529.8
CI  gamma       21.0000       1748347.9
CI  gamma       22.0000       1533376.6
CI  gamma       23.0000       1352290.9
CI  gamma       24.0000       1198661.6
CI  gamma       25.0000       1067471.2
CI  gamma       26.0000       954764.90
CI  gamma       27.0000       857395.43
CI  gamma       28.0000       772838.61
CI  gamma       29.0000       699053.22
CI  gamma       30.0000       634375.83
CI  gamma       31.0000       577442.29
CI  gamma       32.0000       527126.87
CI  gamma       33.0000       482494.72
CI  gamma       34.0000       442765.18
CI  gamma       35.0000       407282.77
CI  gamma       36.0000       375494.31
CI  gamma       37.0000       346931.60
CI  gamma       38.0000       321194.84
CI  gamma       39.0000       297943.36
CI  gamma       40.0000       276883.82
CI  gamma       41.0000       257764.02
CI  gamma       42.0000       240365.48
CI  gamma       43.0000       224498.63
CI  gamma       44.0000       209998.70
CI  gamma       45.0000       196721.49
CI  gamma       46.0000       184540.73
CI  gamma       47.0000       173345.45
CI  gamma       48.0000       163037.99
CI  gamma       49.0000       153532.00
CI  gamma       50.0000       144751.06
CI  gamma       51.0000       136627.39
CI  gamma       52.0000       129100.59
CI  gamma       53.0000       122116.74
CI  gamma       54.0000       115627.78
CI  gamma       55.0000       109590.64
CI  gamma       56.0000       103966.62
CI  gamma       57.0000       98721.073
CI  gamma       58.0000       93822.594
CI  gamma       59.0000       89243.033
CI  gamma       60.0000       84956.732
CI  gamma       61.0000       80940.712
CI  gamma       62.0000       77173.862
CI  gamma       63.0000       73637.226
CI  gamma       64.0000       70313.425
CI  gamma       65.0000       67186.711
