#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
HI  alpha       1.00000   2.4660389e+09
HI  alpha       2.00000   4.5667389e+08
HI  alpha       3.00000   1.5983586e+08
HI  alpha       4.00000       73981169.
HI  alpha       5.00000       40187297.
HI  alpha       6.00000       24231677.
HI  alpha       7.00000       15727287.
HI  alpha       8.00000       10782577.
HI  alpha       9.00000       7712715.2
HI  alpha       10.0000       5706536.6
HI  alpha       11.0000       4340287.5
HI  alpha       12.0000       3377765.2
HI  alpha       13.0000       2680153.9
HI  alpha       14.0000       2162210.3
HI  alpha       15.0000       1769611.6
HI  alpha       16.0000       1466610.1
HI  alpha       17.0000       1229034.1
HI  alpha       18.0000       1040131.6
HI  alpha       19.0000       888047.17
HI  alpha       20.0000       764229.45
HI  alpha       21.0000       662404.71
HI  alpha       22.0000       577896.16
HI  alpha       23.0000       507175.71
HI  alpha       24.0000       447540.56
HI  alpha       25.0000       396900.74
HI  alpha       26.0000       353622.91
HI  alpha       27.0000       316415.58
HI  alpha       28.0000       284250.61
HI  alpha       29.0000       256301.96
HI  alpha       30.0000       231900.90
HI  alpha       31.0000       210501.99
HI  alpha       32.0000       191656.80
HI  alpha       33.0000       174995.74
HI  alpha       34.0000       160211.64
HI  alpha       35.0000       147046.89
HI  alpha       36.0000       135285.99
HI  alpha       37.0000       124746.92
HI  alpha       38.0000       115274.27
HI  alpha       39.0000       106737.52
HI  alpha       40.0000       99022.980
HI  alpha       41.0000       92034.382
HI  alpha       42.0000       85688.470
HI  alpha       43.0000       79912.708
HI  alpha       44.0000       74644.513
HI  alpha       45.0000       69829.528
HI  alpha       46.0000       65420.002
HI  alpha       47.0000       61373.926
HI  alpha       48.0000       57654.839
HI  alpha       49.0000       54230.302
HI  alpha       50.0000       51071.604
HI  alpha       51.0000       48153.580
HI  alpha       52.0000       45453.739
HI  alpha       53.0000       42951.987
HI  alpha       54.0000       40630.525
HI  alpha       55.0000       38473.370
HI  alpha       56.0000       36466.265
HI  alpha       57.0000       34596.387
HI  alpha       58.0000       32852.156
HI  alpha       59.0000       31223.333
HI  alpha       60.0000       29700.349
HI  alpha       61.0000       28274.877
HI  alpha       62.0000       26939.168
HI  alpha       63.0000       25686.330
HI  alpha       64.0000       24509.905
HI  alpha       65.0000       23404.294
HI  alpha       66.0000       22364.186
HI  alpha       67.0000       21384.749
HI  alpha       68.0000       20461.771
HI  alpha       69.0000       19591.139
HI  alpha       70.0000       18769.168
HI  alpha       71.0000       17992.556
HI  alpha       72.0000       17258.241
HI  alpha       73.0000       16563.257
HI  alpha       74.0000       15905.211
HI  alpha       75.0000       15281.519
